ID,Title,Artist,Tags,Cover,Difficulty
52,At the Hop,Danny and the Juniors,,https://i.scdn.co/image/ab67616d0000b27362b3c3aec00c8a1d7e4663ca,
53,Away in a Manger,Christmas,,https://i.scdn.co/image/ab67616d0000b273a640be34ee9f2a864396bc20,
54,Baby One More Time,Britney Spears,90s,https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02,
55,Babylon,David Gray,,https://i.scdn.co/image/ab67616d0000b273d53ec2e07184f28ac9ed2a99,
56,Back in Black,AC/DC,"Aussie, 80s",https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,
57,Back in the U.S.S.R.,The Beatles,,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,
58,Back Pocket,Vulfpeck,,https://i.scdn.co/image/ab67616d0000b273d4d231e11ce86d2a6e6f9414,
59,Bad Moon Rising,Creedence Clearwater Revival,70s,https://i.scdn.co/image/ab67616d0000b2733efcd243aaa5638f55318f91,
60,Bad Romance,Lady Gaga,Pop,https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa,
61,Ballroom Blitz,The Sweet,"Rock, 70s",https://i.scdn.co/image/ab67616d0000b27338bc4638c716bbba67358abb,
62,Bam Bam,Sister Nancy,,https://i.scdn.co/image/ab67616d0000b27333c6f21ab00263515f0b0d6d,
63,Banana Pancakes,Jack Johnson,,https://i.scdn.co/image/ab67616d0000b27306b42768ebe736eec21336ea,
64,Basket Case,Green Day,"Rock, 90s",https://i.scdn.co/image/ab67616d0000b273db89b08034de626ebee6823d,
65,Bat Out Of Hell,Meat Loaf,Bangers,https://i.scdn.co/image/ab67616d0000b2734111af27787499f6d8752e9f,
66,Be My Escape,Relient K,,https://i.scdn.co/image/ab67616d0000b273572a9d884dc34896085175af,
67,Be Prepared,Disney (The Lion King),Duet,https://i.scdn.co/image/ab67616d0000b273506648dfeff34bdfe9a8a83f,
68,Beat It,Michael Jackson,,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,
69,Beautiful Day,U2,,https://i.scdn.co/image/ab67616d0000b273e3f4221446f724b575a9aafb,
70,Beds are Burning,Midnight Oil,"Aussie, 80s",https://i.scdn.co/image/ab67616d0000b2730dd350beeb5ac73672ad6e80,
71,Beer,Reel Big Fish,Rock,https://i.scdn.co/image/ab67616d0000b273ef883c94c02915cacc3b5b36,
72,Before He Cheats,Carrie Underwood,"Country, Classic",https://i.scdn.co/image/ab67616d0000b273724bd326692d222c5906b0b0,
73,Best Day of My Life,American Authors,,https://i.scdn.co/image/ab67616d0000b273cc761ba55b0e7abad4539abe,
74,Best Friend,Queen,,https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a,
75,Better Be Home Soon,Crowded House,90s,https://i.scdn.co/image/ab67616d0000b2736cdb6a54108ae5653f79b923,
76,Better Man,Pearl Jam,,https://i.scdn.co/image/ab67616d0000b273f0f6b8bc425633e6ed6369c4,
77,Better Together,Jack Johnson,,https://i.scdn.co/image/ab67616d0000b27306b42768ebe736eec21336ea,
78,Betty,Taylor Swift,2020s,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,
79,Beyond,Leon Bridges,,https://i.scdn.co/image/ab67616d0000b273a47ee7a49c53ccdcb38dc874,
80,Beyond the Sea,Bobby Darin,,https://i.scdn.co/image/ab67616d0000b273e774643594281699bde1e4ed,
81,Big Yellow Taxi,Joni Mitchell,60s,https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9,
82,Black Horse and A Cherry Tree,KT Tunstall,,https://i.scdn.co/image/ab67616d0000b273183730e8038fa632b2c227da,
83,Blackbird,The Beatles,,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,
84,Blank Space,Taylor Swift,,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,
85,Bloom,The Paper Kites,Aussie,https://i.scdn.co/image/ab67616d0000b27355bd9d9e0f50d28ddc9c1308,
86,Blue Suede Shoes,Elvis Presley,,https://i.scdn.co/image/ab67616d0000b273f45cec7e72b9dec993c18872,
87,Bohemian Rhapsody,Queen,Bangers,https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a,
88,Bold As Love,Jimi Hendrix,,https://i.scdn.co/image/ab67616d0000b27319dcd95d28b63d10164327f2,
89,Boo'd Up,Ella Mai,,https://i.scdn.co/image/ab67616d00001e021067b9877d6435ae9ecb26ac,
90,Born and Raised,John Mayer,,https://i.scdn.co/image/ab67616d0000b2733c6bbf44de57c6eb51818694,
91,Born This Way,Lady Gaga,Pop,https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8,
92,Born to Run,Bruce Springsteen,Bangers,https://i.scdn.co/image/ab67616d0000b273503143a281a3f30268dcd9f9,
93,Boy in the Bubble,Paul Simon,Bangers,https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8,
94,Boys of Summer,Donhenley,"Rock, 80s, 2000s",https://i.scdn.co/image/ab67616d0000b273e59d7ff5a9d7634c02135b19,
95,Brass in Pocket,The Pretenders,80s,https://i.scdn.co/image/ab67616d0000b2735e811d4435bc08145331eaa6,
96,Brothers in Arms,Dire Straits,,https://i.scdn.co/image/ab67616d0000b273fb995d2871f084b34afae3b3,
97,Brown Eyed Girl,Van Morrison,60s,https://i.scdn.co/image/ab67616d0000b2733f29a976eea00141514ab936,
98,Brown Eyed Lover,Allen Stone,,https://i.scdn.co/image/ab67616d0000b27358076b915a6a926d1020124b,
99,Buddy Holly,Weezer,90s,https://i.scdn.co/image/ab67616d0000b273345536847e60f622ee0eae96,
100,Build Me Up Buttercup,The Foundations,Soul,https://i.scdn.co/image/ab67616d0000b273c76041077e2a0de9694b9db3,
101,Burn,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,
102,Burn For You,John Farnham,,https://i.scdn.co/image/ab67616d0000b273bc42a3c1798a35d10a72b052,
103,Burn Your Name,Powderfinger,Aussie,https://i.scdn.co/image/ab67616d0000b27372d303d2481842499d152df4,
104,Burning Love,Elvis Presley,,https://i.scdn.co/image/ab67616d0000b273524e9e45a2e0067b8189a92e,
105,Cabaret,Liza Minelli,Showtunes,https://i.scdn.co/image/ab67616d00001e023f0ddaafb889a16220871372,
106,Cake By The Ocean,DNCE,2020s,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,
107,California,Phantom Planet,2000s,https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193,
108,California Gurls,Katy Perry,"Pop, 2000s",https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888,
109,Call Me,Blondie,80s,https://i.scdn.co/image/ab67616d0000b27313cbe3e4dfa81fe5b91f2f1c,
110,Call me Maybe,Carly Rae Jepsen,,https://i.scdn.co/image/ab67616d0000b273a111f7769013f1731e9c697c,
111,Can You Feel the Love Tonight,Disney (The Lion King),Duet,https://i.scdn.co/image/ab67616d0000b273506648dfeff34bdfe9a8a83f,
112,Can't Help Falling In Love,Elvis Presley,,https://i.scdn.co/image/ab67616d0000b273acaf8d921e2a21c30a6451e1,
113,Can't Stop The Feeling,Justin Timberlake,,https://i.scdn.co/image/ab67616d00001e02d965d29d7dcf46ade5a8a7e4,
114,Can't Take My Eyes Off You,Frankie Valli and the Four Seasons,,https://i.scdn.co/image/ab67616d0000b273e5af26981a3a99d9994e0768,
115,Canned Heat,Jamiroquai,,https://i.scdn.co/image/ab67616d0000b2734ccb64f022a53d3e8ec84a20,
116,Canticle of the Turning,Christmas,,https://i.scdn.co/image/ab67616d0000b27319a9ba690cee271a17434290,
117,Castle on the Hill,Ed Sheeran,,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,
118,Cecilia,Simon & Garfunkel,,https://i.scdn.co/image/ab67616d0000b273ba7fe7dd76cd4307e57dd75f,
119,Celebrity Skin,Hole,"Rock, 90s",https://i.scdn.co/image/ab67616d0000b2730649124c37ce988317263671,
120,Centerfold,J. Geils Band,,https://i.scdn.co/image/ab67616d00001e0238b2429ef948e6ca8d3ab599,
121,Chain of Fools,Aretha Franklin,Soul,https://i.scdn.co/image/ab67616d0000b2739e5af96086574b76499dcf70,
122,Champagne Supernova,Oasis,,https://i.scdn.co/image/ab67616d0000b2737a4c8c59851c88f6794c3cbf,
123,Chandelier,Sia,,https://i.scdn.co/image/ab67616d0000b273b55ed804149fffbb5e35ff34,
124,Cherry Cherry,Neil Diamond,,https://i.scdn.co/image/ab67616d0000b27336d6a0e9046f5cf060aa51e8,
125,Chim Chim Cher-ee,Disney,,https://i.scdn.co/image/ab67616d0000b2738d7ee44aecbc4943229427dc,
126,Chop Suey,System of a Down,2000s,https://i.scdn.co/image/ab67616d0000b273b7a9a6a2bf311630d3fc6956,
127,Cinnamon Girl,Prince,,https://i.scdn.co/image/ab67616d0000b27328b476821e82d2ba009b0361,
128,Clocks,Coldplay,,https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82,
129,Closer to Fine,Indigo Girls,90s,https://i.scdn.co/image/ab67616d0000b273347cd7326ed7dc67048e7420,
130,Closing Time,Semisonic,,https://i.scdn.co/image/ab67616d0000b273dec0d479b10bccff532074ed,
131,Colors of the Wind,Disney,,https://i.scdn.co/image/ab67616d0000b2734bf1788cb3181e3ca18e1350,
132,Come Together,The Beatles,,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,
133,Come When I Call,John Mayer,,https://i.scdn.co/image/ab67616d0000b2735b9c332f9f76cabc137e400f,
134,Complicated,Avril Lavigne,,https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240,
135,Control,MuteMath,,https://i.scdn.co/image/ab67616d0000b273d0c3e834193e9dc4c68d8df0,
136,Counting Blue Cars,Dishwalla,90s,https://i.scdn.co/image/ab67616d0000b273b5dcc1e0cb6bbfda3298c65b,
137,Cover Me Up,Jason Isbell,Country,https://i.scdn.co/image/ab67616d0000b273cadba04ee5fa8612182151c6,
138,Crash Into Me,Dave Matthews Band,,https://i.scdn.co/image/ab67616d0000b2738b661bd40fbd8c6fbb26e3df,
139,Crazy,Patsy Cline,Country,https://i.scdn.co/image/ab67616d0000b2736fda96b0954b958ee44c8efc,
140,Crazy In Love,Beyoncé,,https://i.scdn.co/image/ab67616d0000b27345680a4a57c97894490a01c1,
141,Crazy Little Thing Called Love,Queen,,https://i.scdn.co/image/ab67616d0000b27307744e2ed983efa3e6620a47,
142,"Crazy Love, VOL. II",Paul Simon,,https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8,
143,Cream,Prince,,https://i.scdn.co/image/ab67616d0000b273a3c44b7a278ab2140b49d81c,
144,Creep,Radiohead,,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,
145,Crowded Table,The Highwomen,Country,https://i.scdn.co/image/ab67616d0000b273e65e147a6f24ecf3f5261e2f,
146,Cruel Summer,Taylor Swift,2000s,https://i.scdn.co/image/ab67616d0000b27373e05d44cf2a571ccbc16e60,
147,Dancing in the Dark,Bruce Springsteen,80s,https://i.scdn.co/image/ab67616d0000b273a7865e686c36a4adda6c9978,
148,Dancing in the Street,Martha Reeve and the Vandellas,Soul,https://i.scdn.co/image/ab67616d0000b273fc466e0c9ac165ac85ddbedf,
149,Dancing on My Own,Robyn,Pop,https://i.scdn.co/image/ab67616d0000b273b4375effb23372cc8cff5045,
150,Dancing on the Ceiling,Lionel Richie,,https://i.scdn.co/image/ab67616d0000b2732c33399e119cec9b0fcde564,
151,Dancing Queen,ABBA,70s,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0,
152,Dare You To Move,Switchfoot,,https://i.scdn.co/image/ab67616d0000b2730f6618cd5d9efa9b71cfa688,
153,Dead Flowers,Rolling Stones,60s,https://i.scdn.co/image/ab67616d0000b273a1d9c9969f2a7ed27e449a3c,
154,Dear Theodosia,Hamilton,"Duet, Showtunes",https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540,
155,Deck the Halls,Christmas,,https://i.scdn.co/image/ab67616d0000b273a640be34ee9f2a864396bc20,
156,Deep Water,Haley Reinhart,,https://i.scdn.co/image/ab67616d0000b2731907562a6462f43ad8345d3c,
157,Deeper Water,Paul Kelly,Aussie,https://i.scdn.co/image/ab67616d0000b2731a171f3f2becb7cb5a166fc1,
158,Desperado,Eagles,70s,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f5/ef/50/f5ef504b-c66a-6645-621c-c279468cc28f/075596062725.jpg/600x600bb.jpg,
159,Devil Went Down to Georgia,Charlie Daniels Band,Country,https://i.scdn.co/image/ab67616d0000b27382f846c52535bb65ab1d1a54,
160,Diamonds on the Soles ofher Shoes,Paul Simon,,https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8,
161,Dirty Old Town,The Pogues,,https://i.scdn.co/image/ab67616d0000b2738dcbee93733dd5393e629653,
162,Dizzy,Vic Reeves,,https://i.scdn.co/image/ab67616d0000b273c73db73778430c4114701d75,
163,Do You Hear the People Sing,Les Misérables,Showtunes,https://i.scdn.co/image/ab67616d0000b27390c3b1e71ca963d6f8f6052c,
164,Do You Love Me,The Contours,,https://i.scdn.co/image/ab67616d0000b273c2097cc645d57a900f8c84e7,
165,Don't Be Cruel,Elvis Presley,,https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76,
166,Don't Dream It's Over,Crowded House,,https://i.scdn.co/image/ab67616d0000b27394663b317230b549227c2172,
167,Don't Know Why,Norah Jones,"Ballad, 2000s",https://i.scdn.co/image/ab67616d00001e02c648a42b5dad72c8aafceeec,
168,Don't Let Me Down,The Beatles,,https://i.scdn.co/image/ab67616d0000b2735a18ca8e4cd3652ef2617886,
