SongID,Title,Artist,Tags,Cover,Difficulty
52,At the Hop,Danny and the Juniors,None,https://i.scdn.co/image/7360d1440730b76f736d01fa54aec396f2fe384c,easy
53,Away in a Manger,Christmas,None,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,easy
54,Baby One More Time,Britney Spears,90s,https://i.scdn.co/image/ab6761610000e5eb3a49b0a3954e460a8a76ed90,easy
55,Babylon,David Gray,None,https://i.scdn.co/image/ab6761610000e5ebc653929290ae14a9ea5db071,easy
56,Back in Black,AC/DC,"Aussie, 80s",https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37,medium
57,Back in the U.S.S.R.,The Beatles,None,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,easy
58,Back Pocket,Vulfpeck,None,https://i.scdn.co/image/ab6761610000e5eb3f8c36a57018e5221c8c458c,medium
59,Bad Moon Rising,Creedence Clearwater Revival,70s,https://i.scdn.co/image/ab6761610000e5ebd2e2b04b7ba5d60b72f54506,easy
60,Bad Romance,Lady Gaga,Pop,https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf,medium
61,Ballroom Blitz,The Sweet,"Rock, 70s",https://i.scdn.co/image/ab67616d0000b273fd9a11213db4492c216c43eb,medium
62,Bam Bam,Sister Nancy,None,https://i.scdn.co/image/ab67616d0000b27333c6f21ab00263515f0b0d6d,medium
63,Banana Pancakes,Jack Johnson,None,https://i.scdn.co/image/ab6761610000e5eb9555a0b3231117c8cde1fca7,easy
64,Basket Case,Green Day,"Rock, 90s",https://i.scdn.co/image/ab6761610000e5eb6ff0cd5ef2ecf733804984bb,easy
65,Bat Out Of Hell,Meat Loaf,Bangers,https://i.scdn.co/image/ab6761610000e5ebd80098ab0e9b98ee0bd0795e,hard
66,Be My Escape,Relient K,None,https://i.scdn.co/image/ab6761610000e5eb1e0743a3e000215916f70238,medium
67,Be Prepared,Disney (The Lion King),Duet,No Image Available,easy
68,Beat It,Michael Jackson,None,https://i.scdn.co/image/ab6761610000e5eb0e08ea2c4d6789fbf5cbe0aa,medium
69,Beautiful Day,U2,None,https://i.scdn.co/image/ab6761610000e5eb76e8d4043d65d5b90dd620c6,medium
70,Beds are Burning,Midnight Oil,"Aussie, 80s",https://i.scdn.co/image/ab6761610000e5eb250d8955d025460671be2609,medium
71,Beer,Reel Big Fish,Rock,https://i.scdn.co/image/ab6761610000e5eb3e2cc3b6c73d974a0f6b91b3,easy
72,Before He Cheats,Carrie Underwood,"Country, Classic",https://i.scdn.co/image/ab6761610000e5ebc1c077c305eb4b2bcac25fd5,easy
73,Best Day of My Life,American Authors,None,https://i.scdn.co/image/ab6761610000e5eb76fa6126d926bd6302239aba,easy
74,Best Friend,Queen,None,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,medium
75,Better Be Home Soon,Crowded House,90s,https://i.scdn.co/image/ab6761610000e5eb067f481c1d454bf928bbe812,easy
76,Better Man,Pearl Jam,None,https://i.scdn.co/image/ab6761610000e5eb122d1145d880736383742ebc,easy
77,Better Together,Jack Johnson,None,https://i.scdn.co/image/ab6761610000e5eb9555a0b3231117c8cde1fca7,easy
78,Betty,Taylor Swift,2020s,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4,easy
79,Beyond,Leon Bridges,None,https://i.scdn.co/image/ab6761610000e5ebc1493f8c442935b396753e21,medium
80,Beyond the Sea,Bobby Darin,None,https://i.scdn.co/image/ae8a8b9d9b6a35f00b87fdae31f46db6a13fcd0e,easy
81,Big Yellow Taxi,Joni Mitchell,60s,https://i.scdn.co/image/68cfb061951dbd44c95422a54cb70baec0722ca3,medium
82,Black Horse and A Cherry Tree,KT Tunstall,None,https://i.scdn.co/image/ab6761610000e5eb8457f57bc526c37bd804b924,easy
83,Blackbird,The Beatles,None,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,medium
84,Blank Space,Taylor Swift,None,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4,easy
85,Bloom,The Paper Kites,Aussie,https://i.scdn.co/image/ab6761610000e5eb9d4b54a5adb3f8d057d41c07,easy
86,Blue Suede Shoes,Elvis Presley,None,https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c,easy
87,Bohemian Rhapsody,Queen,Bangers,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,hard
